starts fetching pub dev stats...
Fetching data for 10/250 packages ...
Fetching data for 20/250 packages ...
Fetching data for 30/250 packages ...
Fetching data for 40/250 packages ...
Fetching data for 50/250 packages ...
Fetching data for 60/250 packages ...
Fetching data for 70/250 packages ...
Fetching data for 80/250 packages ...
Fetching data for 90/250 packages ...
Fetching data for 100/250 packages ...
Fetching data for 110/250 packages ...
Fetching data for 120/250 packages ...
Fetching data for 130/250 packages ...
Fetching data for 140/250 packages ...
Fetching data for 150/250 packages ...
Fetching data for 160/250 packages ...
Fetching data for 170/250 packages ...
Fetching data for 180/250 packages ...
Fetching data for 190/250 packages ...
Fetching data for 200/250 packages ...
Fetching data for 210/250 packages ...
Fetching data for 220/250 packages ...
Fetching data for 230/250 packages ...
Fetching data for 240/250 packages ...
Fetching data for 250/250 packages ...
┌─────────┬──────────────────────────────────┬───────┬────────┬────────────┬────────────┬──────────────┬───────────────────────────────────┬────────────────────────┐
│ (index) │               name               │ likes │ health │ popularity │ isNullSafe │ isFlutterFav │              version              │       developer        │
│   145   │          'workmanager'           │  385  │  100   │     95     │    true    │    false     │              '0.4.0'              │ 'fluttercommunity.dev' │
│   146   │           'timelines'            │  384  │  130   │     94     │    true    │    false     │              '0.1.0'              │     'chulwoo.dev'      │
│   147   │      'tutorial_coach_mark'       │  382  │  110   │     95     │    true    │    false     │              '1.0.0'              │       undefined        │
│   148   │          'flutter_map'           │  381  │   55   │     98     │   false    │    false     │             '0.12.0'              │      'jpryan.me'       │
│   149   │            'retrofit'            │  380  │  110   │     97     │   false    │    false     │       '1.3.4+12.0.0-beta1'        │       'mings.in'       │
│   150   │          'flutter_blue'          │  378  │  100   │     96     │    true    │    false     │              '0.8.0'              │   'pauldemarco.com'    │
│   151   │       'feature_discovery'        │  378  │  120   │     93     │    true    │    false     │             '0.14.0'              │       undefined        │
│   152   │          'liquid_swipe'          │  374  │  130   │     97     │    true    │    false     │              '2.1.0'              │   'sahdeepsingh.com'   │
│   153   │             'crypto'             │  374  │  130   │    100     │    true    │    false     │              '3.0.1'              │       'dart.dev'       │
│   154   │  'syncfusion_flutter_calendar'   │  372  │  130   │     96     │    true    │    false     │             '19.1.57'             │    'syncfusion.com'    │
