
A total of 24/250 top packages come from Google
┌─────────┬──────────────────────────────┬───────┬────────┬────────────┬──────────┬──────────┬────────────────────────────┬───────────────┐
│ (index) │             name             │ likes │ health │ popularity │ nullSafe │ endorsed │          version           │   developer   │
│   123   │         'audio_service'          │  479  │  130   │     95     │   true   │  false   │             '0.17.1'              │    'ryanheise.com'     │
│   124   │         'flutter_login'          │  474  │  110   │     95     │  false   │  false   │     '1.1.02.0.0-nullsafety.0'     │       undefined        │
│   125   │         'google_nav_bar'         │  470  │  120   │     95     │   true   │  false   │              '5.0.5'              │    'sooxt98.space'     │
│   126   │       'firebase_analytics'       │  469  │  120   │     99     │   true   │  false   │              '8.1.1'              │ 'firebase.google.com'  │
│   127   │        'page_transition'         │  464  │  130   │     98     │   true   │  false   │              '2.0.2'              │    'yasinilhan.com'    │
│   128   │         'in_app_review'          │  464  │  120   │     97     │   true   │  false   │              '2.0.2'              │    'britannio.dev'     │
│   129   │             'chewie'             │  460  │  130   │     99     │   true   │  false   │              '1.2.0'              │       undefined        │
│   130   │           'uni_links'            │  456  │  130   │     98     │   true   │  false   │              '0.5.1'              │       undefined        │
│   131   │         'awesome_dialog'         │  455  │  130   │     97     │   true   │  false   │              '2.1.0'              │       undefined        │
│   132   │         'flare_flutter'          │  454  │   90   │     99     │   true   │  false   │              '3.0.1'              │       'rive.app'       │
│   133   │             'image'              │  454  │  120   │    100     │   true   │  false   │              '3.0.2'              │       undefined        │
│   134   │             'flame'              │  448  │   90   │     95     │  false   │  false   │ '0.29.41.0.0-releasecandidate.11' │   'flame-engine.org'   │
│   135   │           'bot_toast'            │  445  │  120   │     96     │   true   │  false   │              '4.0.1'              │       undefined        │
│   136   │             'fluro'              │  445  │  130   │     97     │   true   │  false   │              '2.0.3'              │   'lukepighetti.com'   │
│   137   │     'awesome_notifications'      │  444  │  120   │     94     │   true   │  false   │             '0.0.6+7'             │       'carda.me'       │
│   138   │          'showcaseview'          │  442  │  120   │     95     │   true   │  false   │              '1.0.0'              │     'simform.com'      │
│   139   │              'path'              │  442  │  130   │    100     │   true   │  false   │              '1.8.0'              │       'dart.dev'       │
│   140   │       'flutter_downloader'       │  439  │  110   │     98     │   true   │  false   │              '1.6.1'              │ 'fluttercommunity.dev' │
│   141   │          'workmanager'           │  439  │  120   │     96     │   true   │  false   │              '0.4.0'              │ 'fluttercommunity.dev' │
│   142   │         'sliding_sheet'          │  439  │  120   │     94     │   true   │  false   │              '0.5.0'              │       undefined        │
│   143   │           'timelines'            │  438  │  120   │     95     │   true   │  false   │              '0.1.0'              │     'chulwoo.dev'      │
│   144   │         'flutter_sound'          │  433  │  130   │     96     │   true   │  false   │              '8.1.4'              │    'dooboolab.com'     │
